company;year;ca;ppe;ebit;rd;personnel;groupe
Emerson Electric (US);2017;15.26;2.85;2.52;0.52;7.6;INDUS
Emerson Electric (US);2018;17.41;3.12;3.15;0.58;8.7;INDUS
Emerson Electric (US);2019;18.37;3.42;3.25;0.62;8.8;INDUS
Emerson Electric (US);2020;16.78;3.35;2.85;0.58;8.4;INDUS
Emerson Electric (US);2021;18.23;3.65;3.45;0.62;8.6;INDUS
Emerson Electric (US);2022;19.62;3.85;3.65;0.65;8.5;INDUS
Emerson Electric (US);2023;15.16;2.45;2.75;0.55;6.7;INDUS
Emerson Electric (US);2024;16.45;2.75;3.12;0.62;7.2;INDUS
Enphase Energy (US);2015;0.35;0.03;0.02;0.04;0.05;INDUS
Enphase Energy (US);2016;0.32;0.03;-0.01;0.04;0.06;INDUS
Enphase Energy (US);2017;0.29;0.02;-0.03;0.04;0.05;INDUS
Enphase Energy (US);2018;0.32;0.02;0.01;0.05;0.06;INDUS
Enphase Energy (US);2019;0.62;0.03;0.1;0.06;0.08;INDUS
Enphase Energy (US);2020;0.77;0.04;0.15;0.07;0.1;INDUS
Enphase Energy (US);2021;1.38;0.08;0.35;0.12;0.15;INDUS
Enphase Energy (US);2022;2.33;0.15;0.65;0.18;0.2;INDUS
Enphase Energy (US);2023;2.29;0.18;0.58;0.22;0.25;INDUS
Enphase Energy (US);2024;2.15;0.22;0.45;0.25;0.23;INDUS
Epiroc (EU);2015;3.1;0.3;0.62;0.1;1.2;INDUS
Epiroc (EU);2016;3.1;0.3;0.63;0.1;1.22;INDUS
Epiroc (EU);2017;3.4;0.33;0.71;0.11;1.28;INDUS
Epiroc (EU);2018;3.8;0.37;0.83;0.13;1.35;INDUS
Epiroc (EU);2019;3.9;0.38;0.89;0.14;1.42;INDUS
Epiroc (EU);2020;4.0;0.39;0.9;0.14;1.45;INDUS
Epiroc (EU);2021;4.5;0.44;1.1;0.16;1.55;INDUS
Epiroc (EU);2022;4.6;0.44;1.1;0.17;1.65;INDUS
Epiroc (EU);2023;4.8;0.44;1.1;0.18;1.75;INDUS
Epiroc (EU);2024;5.1;0.45;1.2;0.18;1.85;INDUS
Ericsson (EU);2015;28.4;1.2;3.2;4.1;11.6;INDUS
Ericsson (EU);2016;25.8;1.1;0.7;3.8;11.1;INDUS
Ericsson (EU);2017;24.2;1.0;-3.9;4.2;10.1;INDUS
Ericsson (EU);2018;24.1;1.0;0.1;4.4;9.5;INDUS
Ericsson (EU);2019;25.9;1.1;1.2;4.5;9.9;INDUS
Ericsson (EU);2020;27.2;1.3;3.2;4.7;10.1;INDUS
Ericsson (EU);2021;27.5;1.5;3.8;4.9;10.1;INDUS
Ericsson (EU);2022;25.5;1.8;2.5;4.5;10.5;INDUS
Ericsson (EU);2023;23.8;2.1;-1.8;4.3;10.0;INDUS
Ericsson (EU);2024;24.1;2.2;1.1;4.5;9.8;INDUS
Estee Lauder (US);2015;10.78;1.52;1.65;0.18;4.4;INDUS
Estee Lauder (US);2016;11.26;1.65;1.75;0.21;4.6;INDUS
Estee Lauder (US);2017;11.82;1.85;1.85;0.22;4.6;INDUS
Estee Lauder (US);2018;13.68;2.15;2.15;0.25;4.8;INDUS
Estee Lauder (US);2019;14.86;2.35;2.45;0.28;4.8;INDUS
Estee Lauder (US);2020;14.29;2.55;1.15;0.25;4.8;INDUS
Estee Lauder (US);2021;16.22;2.85;2.85;0.32;6.2;INDUS
Estee Lauder (US);2022;17.74;3.15;3.15;0.35;6.0;INDUS
Estee Lauder (US);2023;15.91;2.85;1.85;0.32;6.2;INDUS
Estee Lauder (US);2024;16.45;3.15;2.15;0.35;6.4;INDUS
FAW Jiefang;2015;9.8214;2.5;0.2024;0.2976;2.45;INDUS
FAW Jiefang;2016;11.5595;2.4405;0.2976;0.3214;2.35;INDUS
FAW Jiefang;2017;18.0524;2.7381;0.7738;0.4405;2.55;INDUS
FAW Jiefang;2018;17.2619;2.8929;0.6786;0.5119;2.45;INDUS
FAW Jiefang;2019;19.6548;3.2143;0.8452;0.6071;2.55;INDUS
FAW Jiefang;2020;27.0667;3.631;1.0119;0.75;2.85;INDUS
FAW Jiefang;2021;23.5119;4.0119;1.0833;0.8452;2.75;INDUS
FAW Jiefang;2022;9.131;3.9286;0.131;0.6786;2.25;INDUS
FAW Jiefang;2023;15.2143;4.1071;0.2976;0.75;2.45;INDUS
FAW Jiefang;2024;13.9476;4.4048;0.4405;0.869;2.65;INDUS
Fanuc (JP);2015;6.1;1.8;2.5;0.3;0.6;INDUS
Fanuc (JP);2016;5.3;1.9;1.5;0.3;0.6;INDUS
Fanuc (JP);2017;6.4;2.1;2.0;0.4;0.7;INDUS
Fanuc (JP);2018;6.5;2.4;2.1;0.4;0.7;INDUS
Fanuc (JP);2019;5.4;2.8;1.4;0.4;0.8;INDUS
Fanuc (JP);2020;4.8;3.0;1.0;0.4;0.8;INDUS
Fanuc (JP);2021;6.3;3.2;1.7;0.5;0.8;INDUS
Fanuc (JP);2022;6.8;3.4;1.8;0.5;0.9;INDUS
Fanuc (JP);2023;6.5;3.5;1.3;0.6;0.9;INDUS
Fanuc (JP);2024;6.9;3.8;1.5;0.7;0.9;INDUS
Fast Gear Ind;2015;2.4167;1.219;0.2024;0.1;1.25;INDUS
Fast Gear Ind;2016;2.9643;1.2738;0.2738;0.1143;1.32;INDUS
Fast Gear Ind;2017;4.0048;1.3929;0.4643;0.1476;1.45;INDUS
Fast Gear Ind;2018;4.3452;1.5357;0.5048;0.1786;1.52;INDUS
Fast Gear Ind;2019;4.7905;1.6952;0.5595;0.2024;1.65;INDUS
Fast Gear Ind;2020;5.3452;2.0286;0.6786;0.2667;1.85;INDUS
Fast Gear Ind;2021;5.0357;2.2024;0.3452;0.2262;1.72;INDUS
Fast Gear Ind;2022;4.4048;2.4167;0.1548;0.1952;1.65;INDUS
Fast Gear Ind;2023;5.0595;2.7262;0.3214;0.25;1.75;INDUS
Fast Gear Ind;2024;5.5952;3.0476;0.4405;0.2976;1.85;INDUS
Fawer Auto;2015;1.631;0.5048;0.1238;0.0595;0.85;INDUS
Fawer Auto;2016;1.9333;0.5833;0.1548;0.0667;0.88;INDUS
Fawer Auto;2017;2.9643;0.7429;0.2024;0.0833;1.12;INDUS
Fawer Auto;2018;3.1238;0.9167;0.2262;0.1;1.25;INDUS
Fawer Auto;2019;2.981;0.981;0.2024;0.1071;1.18;INDUS
Fawer Auto;2020;3.6548;1.1548;0.2667;0.131;1.35;INDUS
Fawer Auto;2021;4.481;1.3143;0.1548;0.1548;1.52;INDUS
Fawer Auto;2022;4.75;1.4571;0.1238;0.1786;1.45;INDUS
Fawer Auto;2023;5.0595;1.631;0.2024;0.1952;1.55;INDUS
Fawer Auto;2024;5.5833;1.7905;0.2667;0.2262;1.65;INDUS
Ferrari (EU);2015;2.9;0.7;0.5;0.5;0.3;INDUS
Ferrari (EU);2016;3.1;0.8;0.6;0.5;0.3;INDUS
Ferrari (EU);2017;3.4;0.9;0.8;0.6;0.3;INDUS
Ferrari (EU);2018;3.4;1.0;0.8;0.6;0.4;INDUS
Ferrari (EU);2019;3.8;1.1;0.9;0.7;0.4;INDUS
Ferrari (EU);2020;3.5;1.3;0.7;0.7;0.5;INDUS
Ferrari (EU);2021;4.3;1.5;1.1;0.8;0.5;INDUS
Ferrari (EU);2022;5.1;1.7;1.2;0.8;0.5;INDUS
Ferrari (EU);2023;6.0;1.9;1.6;0.9;0.5;INDUS
Ferrari (EU);2024;6.5;2.2;1.9;1.0;0.5;INDUS
Final Tech SME;2015;0.0833;0.0286;0.0095;0.0048;0.05;INDUS
Final Tech SME;2016;0.0905;0.0333;0.0119;0.0071;0.06;INDUS
Final Tech SME;2017;0.1071;0.0381;0.0167;0.0095;0.08;INDUS
Final Tech SME;2018;0.1238;0.0429;0.019;0.0119;0.1;INDUS
Final Tech SME;2019;0.131;0.0476;0.0214;0.0143;0.11;INDUS
Final Tech SME;2020;0.1143;0.0524;0.0119;0.0143;0.1;INDUS
Final Tech SME;2021;0.1548;0.0595;0.0286;0.019;0.13;INDUS
Final Tech SME;2022;0.1476;0.0667;0.019;0.0214;0.12;INDUS
Final Tech SME;2023;0.1786;0.0762;0.0357;0.0262;0.15;INDUS
First Solar (US);2015;3.58;1.52;0.52;0.15;0.62;INDUS
First Solar (US);2016;2.85;1.45;0.38;0.14;0.6;INDUS
First Solar (US);2017;2.92;1.38;0.42;0.12;0.58;INDUS
First Solar (US);2018;2.24;1.35;0.15;0.11;0.65;INDUS
First Solar (US);2019;3.06;1.65;0.02;0.12;0.68;INDUS
First Solar (US);2020;2.71;1.85;0.35;0.11;0.65;INDUS
First Solar (US);2021;2.92;2.05;0.52;0.1;0.65;INDUS
First Solar (US);2022;2.62;2.25;0.05;0.09;0.68;INDUS
First Solar (US);2023;3.32;2.45;0.82;0.11;0.72;INDUS
First Solar (US);2024;4.25;2.85;1.15;0.13;0.75;INDUS
Flat Glass;2015;0.6786;0.4405;0.1071;0.019;0.35;INDUS
Flat Glass;2016;0.719;0.5048;0.131;0.0262;0.38;INDUS
Flat Glass;2017;0.7429;0.5833;0.1;0.0286;0.42;INDUS
Flat Glass;2018;0.7286;0.6786;0.0976;0.0286;0.45;INDUS
Flat Glass;2019;1.1476;0.8381;0.2024;0.0429;0.52;INDUS
Flat Glass;2020;1.4905;1.0762;0.4405;0.0595;0.65;INDUS
Flat Glass;2021;2.0738;1.631;0.5048;0.1;0.85;INDUS
Flat Glass;2022;3.681;2.5048;0.5833;0.1548;1.15;INDUS
Flat Glass;2023;5.1238;3.5357;0.6786;0.2024;1.45;INDUS
Flat Glass;2024;5.981;4.3143;0.7738;0.25;1.62;INDUS
Ford (US);2015;149.6;34.5;7.3;6.7;19.9;INDUS
Ford (US);2016;151.8;36.2;6.3;7.3;20.1;INDUS
Ford (US);2017;156.7;37.8;5.4;8.0;20.2;INDUS
Ford (US);2018;160.3;38.5;4.3;8.2;19.9;INDUS
Ford (US);2019;155.9;39.2;0.6;7.4;19.0;INDUS
Ford (US);2020;127.1;40.1;2.5;7.1;18.6;INDUS
Ford (US);2021;136.3;41.5;4.5;7.6;18.3;INDUS
Ford (US);2022;158.1;42.8;6.3;7.8;17.3;INDUS
Ford (US);2023;176.2;44.2;4.9;8.2;17.7;INDUS
Ford (US);2024;181.5;45.5;5.8;8.5;17.5;INDUS
Fortive (US);2015;6.22;0.85;1.25;0.38;2.4;INDUS
Fortive (US);2016;6.23;0.82;1.28;0.41;2.4;INDUS
Fortive (US);2017;6.66;0.88;1.35;0.45;2.6;INDUS
Fortive (US);2018;7.21;0.95;1.52;0.52;2.6;INDUS
Fortive (US);2019;7.33;1.05;1.45;0.58;2.5;INDUS
Fortive (US);2020;4.63;0.65;0.85;0.42;1.7;INDUS
Fortive (US);2021;5.25;0.72;1.15;0.48;1.8;INDUS
Fortive (US);2022;5.83;0.78;1.35;0.52;1.8;INDUS
Fortive (US);2023;6.06;0.82;1.42;0.55;1.8;INDUS
Fortive (US);2024;6.35;0.88;1.55;0.58;1.9;INDUS
Forvia (EU);2015;22.23;7.78;1.11;1.78;12.79;INDUS
Forvia (EU);2016;22.89;8.01;1.14;1.83;13.02;INDUS
Forvia (EU);2017;23.58;8.25;1.18;1.89;13.25;INDUS
Forvia (EU);2018;24.29;8.5;1.21;1.94;13.49;INDUS
Forvia (EU);2019;25.02;8.76;1.25;2.0;13.73;INDUS
Forvia (EU);2020;25.77;9.02;1.29;2.06;13.97;INDUS
Forvia (EU);2021;26.54;9.29;1.33;2.12;14.22;INDUS
Forvia (EU);2022;27.34;9.57;1.37;2.19;14.48;INDUS
Forvia (EU);2023;28.16;9.86;1.41;2.25;14.74;INDUS
Forvia (EU);2024;29.0;10.15;1.45;2.32;15.0;INDUS
Foshan Haitian;2015;2.6881;0.7738;0.7429;0.0833;0.42;INDUS
Foshan Haitian;2016;2.9667;0.8381;0.8214;0.0905;0.45;INDUS
Foshan Haitian;2017;3.4714;0.9167;1.0119;0.1;0.48;INDUS
Foshan Haitian;2018;4.0548;1.0119;1.219;0.1143;0.52;INDUS
Foshan Haitian;2019;4.7143;1.1548;1.4881;0.131;0.55;INDUS
Foshan Haitian;2020;5.4262;1.25;1.7667;0.1548;0.58;INDUS
Foshan Haitian;2021;5.9524;1.3929;1.9333;0.1714;0.62;INDUS
Foshan Haitian;2022;6.0976;1.5357;1.7905;0.1786;0.6;INDUS
Foshan Haitian;2023;5.8476;1.631;1.631;0.169;0.58;INDUS
Foshan Haitian;2024;6.2905;1.7262;1.869;0.1857;0.62;INDUS
Foxconn Industrial;2015;64.7905;5.3452;2.8857;1.1548;22.12;INDUS
Foxconn Industrial;2016;64.7905;5.7429;3.2976;1.3143;23.45;INDUS
Foxconn Industrial;2017;84.4095;6.3929;3.7667;1.8929;25.82;INDUS
Foxconn Industrial;2018;98.9095;6.6952;4.0119;2.1714;28.12;INDUS
Foxconn Industrial;2019;97.1714;7.2667;4.3143;2.25;24.85;INDUS
Foxconn Industrial;2020;102.8048;7.8214;4.1476;2.4095;21.45;INDUS
Foxconn Industrial;2021;104.6571;8.3619;4.4095;2.5833;19.25;INDUS
Foxconn Industrial;2022;121.869;9.7905;5.0286;2.7571;18.85;INDUS
Foxconn Industrial;2023;113.4167;10.8214;4.7262;2.6476;17.52;INDUS
Fuanna Home;2015;0.5048;0.2024;0.1071;0.0119;0.45;INDUS
Fuanna Home;2016;0.5524;0.219;0.1143;0.0143;0.48;INDUS
Fuanna Home;2017;0.6238;0.2667;0.1238;0.0167;0.52;INDUS
Fuanna Home;2018;0.6786;0.2976;0.131;0.019;0.55;INDUS
Fuanna Home;2019;0.6619;0.3214;0.1143;0.0214;0.52;INDUS
Fuanna Home;2020;0.6714;0.3452;0.1214;0.0238;0.54;INDUS
Fuanna Home;2021;0.75;0.369;0.1381;0.0286;0.58;INDUS
Fuanna Home;2023;0.8143;0.4238;0.1548;0.0357;0.64;INDUS
Fuanna Home;2024;0.869;0.4571;0.1714;0.0429;0.68;INDUS
Fujifilm (JP);2015;21.45;4.85;1.52;0.72;7.85;INDUS
Fujifilm (JP);2016;20.85;4.75;1.42;0.75;7.7;INDUS
Fujifilm (JP);2017;21.92;4.95;1.65;0.78;7.82;INDUS
Fujifilm (JP);2018;22.45;5.15;1.85;0.82;7.95;INDUS
Fujifilm (JP);2019;21.15;5.35;1.65;0.85;7.65;INDUS
Fujifilm (JP);2020;19.85;5.45;1.52;0.88;7.35;INDUS
Fujifilm (JP);2021;22.52;5.85;2.15;0.95;7.55;INDUS
Fujifilm (JP);2022;24.15;6.15;2.45;1.05;7.42;INDUS
Fujifilm (JP);2023;23.52;6.25;2.25;1.02;7.3;INDUS
Fujifilm (JP);2024;25.12;6.45;2.65;1.15;7.45;INDUS
GAC Group;2015;7.4405;2.9643;0.981;0.6;3.25;INDUS
GAC Group;2016;11.7667;3.2905;1.631;0.7429;3.85;INDUS
GAC Group;2017;17.0357;3.6952;2.6786;1.0119;4.52;INDUS
GAC Group;2018;17.2333;4.0762;2.7429;1.1548;4.85;INDUS
GAC Group;2019;14.1024;4.4881;1.5357;1.219;4.65;INDUS
GAC Group;2020;15.0357;5.0286;1.4571;1.2905;4.45;INDUS
GAC Group;2021;18.019;5.8452;1.869;1.4571;4.85;INDUS
GAC Group;2022;26.1929;6.6238;2.0286;1.7262;5.25;INDUS
GAC Group;2023;30.8929;7.1714;1.1548;2.0119;5.52;INDUS
GAC Group;2024;33.8381;8.2262;1.4881;2.3452;5.85;INDUS
GEA Group (EU);2015;4.45;0.67;0.45;0.09;1.53;INDUS
GEA Group (EU);2016;4.58;0.69;0.46;0.09;1.56;INDUS
GEA Group (EU);2017;4.72;0.71;0.47;0.09;1.59;INDUS
GEA Group (EU);2018;4.86;0.73;0.49;0.1;1.62;INDUS
GEA Group (EU);2019;5.0;0.75;0.5;0.1;1.65;INDUS
GEA Group (EU);2020;5.15;0.77;0.52;0.1;1.68;INDUS
GEA Group (EU);2021;5.31;0.8;0.53;0.11;1.71;INDUS
GEA Group (EU);2022;5.47;0.82;0.55;0.11;1.74;INDUS
GEA Group (EU);2023;5.63;0.84;0.56;0.11;1.77;INDUS
GEA Group (EU);2024;5.8;0.87;0.58;0.12;1.8;INDUS
GEM Co Ltd;2015;1.219;1.0762;0.1071;0.0357;0.65;INDUS
GEM Co Ltd;2016;1.8619;1.3929;0.1548;0.0595;0.85;INDUS
GEM Co Ltd;2017;2.5595;1.7262;0.2667;0.0833;1.05;INDUS
GEM Co Ltd;2018;3.3048;2.0048;0.219;0.1071;1.15;INDUS
GEM Co Ltd;2019;3.4167;2.3452;0.2024;0.1238;1.12;INDUS
GEM Co Ltd;2020;2.9667;2.6476;0.131;0.1381;1.05;INDUS
GEM Co Ltd;2021;4.5976;3.4571;0.2667;0.2024;1.35;INDUS
GEM Co Ltd;2022;6.9976;4.3143;0.3619;0.2976;1.65;INDUS
GEM Co Ltd;2023;7.2667;5.1071;0.2667;0.3452;1.55;INDUS
GEM Co Ltd;2024;8.2905;5.7429;0.3929;0.4167;1.72;INDUS
Ganfeng Lithium;2015;0.3881;0.2024;0.0595;0.0119;0.12;INDUS
Ganfeng Lithium;2016;0.6762;0.2667;0.131;0.019;0.18;INDUS
Ganfeng Lithium;2017;1.0429;0.5048;0.4405;0.0286;0.25;INDUS
Ganfeng Lithium;2018;1.1905;0.9167;0.3619;0.0357;0.32;INDUS
Ganfeng Lithium;2019;1.2714;1.3143;0.1071;0.0429;0.38;INDUS
Ganfeng Lithium;2020;1.3143;1.9333;0.1548;0.0524;0.45;INDUS
Ganfeng Lithium;2021;2.6571;2.9643;1.4571;0.0833;0.75;INDUS
Ganfeng Lithium;2022;9.9571;4.4881;5.3452;0.2024;1.25;INDUS
Ganfeng Lithium;2023;7.85;5.7429;1.631;0.2667;1.35;INDUS
Ganfeng Lithium;2024;8.6786;6.7905;1.9333;0.3452;1.48;INDUS
Geely Auto;2015;7.1738;1.9405;0.8452;0.1548;1.85;INDUS
Geely Auto;2016;12.7905;2.6786;1.4643;0.1714;2.85;INDUS
Geely Auto;2017;22.0857;3.6786;2.981;0.3619;3.25;INDUS
Geely Auto;2018;25.3786;4.7976;3.5357;0.4571;3.45;INDUS
Geely Auto;2019;23.1905;5.9167;2.4167;0.7262;3.85;INDUS
Geely Auto;2020;21.931;6.2262;1.631;0.8929;3.8;INDUS
Geely Auto;2021;24.1929;6.6952;1.4643;1.3143;4.4;INDUS
Geely Auto;2022;35.2286;7.7262;1.5357;2.0119;4.95;INDUS
Geely Auto;2023;42.6667;9.1714;1.7262;2.4405;6.05;INDUS
Geely Auto;2024;48.8452;10.7738;2.1071;2.8929;6.85;INDUS
Gen. Dynamics (US);2015;31.5;3.5;4.1;0.5;9.9;INDUS
Gen. Dynamics (US);2016;31.4;3.6;4.2;0.5;9.8;INDUS
Gen. Dynamics (US);2017;31.0;3.8;4.1;0.6;9.8;INDUS
Gen. Dynamics (US);2018;36.2;4.2;4.4;0.7;10.5;INDUS
Gen. Dynamics (US);2019;39.4;4.8;4.5;0.8;10.3;INDUS
Gen. Dynamics (US);2020;37.9;5.2;4.1;0.9;10.1;INDUS
Gen. Dynamics (US);2021;38.5;5.5;4.2;1.0;10.3;INDUS
Gen. Dynamics (US);2022;39.4;5.8;4.3;1.1;10.6;INDUS
Gen. Dynamics (US);2023;42.3;6.2;4.5;1.2;11.1;INDUS
Gen. Dynamics (US);2024;44.5;6.6;4.8;1.3;11.4;INDUS
Gen. Motors (US);2015;152.4;38.5;10.8;7.5;21.6;INDUS
Gen. Motors (US);2016;166.4;40.2;12.5;8.1;22.5;INDUS
Gen. Motors (US);2017;145.6;42.1;12.8;7.3;18.0;INDUS
Gen. Motors (US);2018;147.0;44.5;10.8;7.8;17.3;INDUS
Gen. Motors (US);2019;137.2;46.8;8.4;6.8;16.4;INDUS
Gen. Motors (US);2020;122.5;47.2;6.7;6.2;15.5;INDUS
Gen. Motors (US);2021;127.0;48.5;14.3;7.9;15.7;INDUS
Gen. Motors (US);2022;156.7;50.2;14.5;9.8;16.7;INDUS
Gen. Motors (US);2023;171.8;52.5;12.4;10.7;16.3;INDUS
Gen. Motors (US);2024;175.2;54.8;13.1;11.2;16.1;INDUS
General Mills (US);2015;17.6;3.8;2.7;0.2;4.2;INDUS
General Mills (US);2016;16.6;3.7;2.7;0.2;3.9;INDUS
General Mills (US);2017;15.6;3.6;2.5;0.2;3.8;INDUS
General Mills (US);2018;15.7;3.8;2.4;0.2;3.8;INDUS
General Mills (US);2019;16.9;4.0;2.5;0.2;4.0;INDUS
General Mills (US);2020;17.6;4.1;2.9;0.2;3.5;INDUS
General Mills (US);2021;18.1;4.2;3.1;0.2;3.5;INDUS
General Mills (US);2022;19.0;4.3;3.2;0.2;3.4;INDUS
General Mills (US);2023;20.1;4.4;3.4;0.2;3.4;INDUS
General Mills (US);2024;19.8;4.5;3.3;0.2;3.4;INDUS
Gentex (US);2015;1.55;0.38;0.45;0.1;0.48;INDUS
Gentex (US);2016;1.68;0.42;0.51;0.11;0.52;INDUS
Gentex (US);2017;1.79;0.45;0.58;0.12;0.55;INDUS
Gentex (US);2018;1.83;0.48;0.55;0.11;0.58;INDUS
Gentex (US);2019;1.86;0.52;0.54;0.12;0.6;INDUS
Gentex (US);2020;1.69;0.55;0.45;0.11;0.58;INDUS
Gentex (US);2021;1.73;0.58;0.44;0.12;0.55;INDUS
Gentex (US);2022;1.92;0.65;0.41;0.13;0.58;INDUS
Gentex (US);2023;2.3;0.72;0.52;0.15;0.62;INDUS
Gentex (US);2024;2.45;0.78;0.58;0.16;0.65;INDUS
GlobalFoundries (US);2015;4.31;0.74;0.8;1.04;1.2;INDUS
GlobalFoundries (US);2016;4.92;0.86;1.0;0.59;1.26;INDUS
GlobalFoundries (US);2017;5.17;0.59;1.39;0.92;1.32;INDUS
GlobalFoundries (US);2018;5.43;1.14;1.56;0.77;1.39;INDUS
GlobalFoundries (US);2019;6.1;0.95;1.16;1.11;1.46;INDUS
GlobalFoundries (US);2020;6.67;1.66;1.84;0.95;1.53;INDUS
GlobalFoundries (US);2021;6.99;2.01;1.26;1.23;1.61;INDUS
GlobalFoundries (US);2022;7.94;2.06;2.28;1.28;1.69;INDUS
GlobalFoundries (US);2023;8.36;1.78;1.67;1.63;1.77;INDUS
GlobalFoundries (US);2024;8.61;1.98;1.59;1.61;1.86;INDUS
Goertek;2015;3.25;1.219;0.2976;0.2024;4.25;INDUS
Goertek;2016;4.5905;1.5357;0.3929;0.2738;5.12;INDUS
Goertek;2017;6.081;2.0286;0.5048;0.369;6.45;INDUS
Goertek;2018;5.6548;2.4095;0.2024;0.4405;6.12;INDUS
Goertek;2019;7.8714;2.9643;0.2976;0.5833;7.85;INDUS
Goertek;2020;13.7476;3.7738;0.6786;0.8214;9.25;INDUS
Goertek;2021;18.6238;4.3143;1.0119;1.0119;10.52;INDUS
Goertek;2022;24.9738;5.3452;0.5048;1.219;9.85;INDUS
Goertek;2023;23.4619;5.981;0.3452;1.1548;8.52;INDUS
Great Wall Motor;2015;18.1024;5.0286;2.3452;0.6548;6.85;INDUS
Great Wall Motor;2016;23.4786;5.8381;2.8857;0.75;7.15;INDUS
Great Wall Motor;2017;24.0881;6.7738;1.3929;0.7976;6.95;INDUS
Great Wall Motor;2018;23.6262;7.6476;1.5357;0.9405;6.45;INDUS
Great Wall Motor;2019;22.9071;8.3619;1.219;1.0119;5.95;INDUS
Great Wall Motor;2020;24.5976;9.25;1.3929;1.219;6.35;INDUS
Great Wall Motor;2021;32.4762;10.0286;1.869;2.1595;7.82;INDUS
Great Wall Motor;2022;32.7;11.5524;1.9643;2.8857;8.15;INDUS
Great Wall Motor;2023;41.2405;13.1238;1.6786;2.6238;8.25;INDUS
Great Wall Motor;2024;51.2381;14.869;2.2667;3.2024;8.55;INDUS
Gree Electric;2015;23.9429;3.2905;3.5119;1.1119;7.15;INDUS
Gree Electric;2016;26.2167;3.631;4.3929;1.1;7.28;INDUS
Gree Electric;2017;35.719;3.9881;6.1071;1.369;8.52;INDUS
Gree Electric;2018;47.6238;4.4095;7.1714;1.7262;8.85;INDUS
Gree Electric;2019;47.7405;4.5833;7.0119;1.4333;8.88;INDUS
Gree Electric;2020;40.5929;4.7976;5.7738;1.4881;8.35;INDUS
Gree Electric;2021;45.1548;5.1071;6.2262;1.5524;8.15;INDUS
Gree Electric;2022;45.2738;5.4405;6.5286;1.5119;7.25;INDUS
Gree Electric;2023;48.819;5.8381;7.4167;1.631;7.15;INDUS
Gree Electric;2024;50.5952;6.219;7.7381;1.7024;7.25;INDUS
Groupe SEB (EU);2015;4.8;0.8;0.4;0.1;2.6;INDUS
Groupe SEB (EU);2016;5.0;0.9;0.5;0.2;2.7;INDUS
Groupe SEB (EU);2017;6.5;1.2;0.6;0.2;3.3;INDUS
Groupe SEB (EU);2018;6.8;1.3;0.7;0.2;3.4;INDUS
Groupe SEB (EU);2019;7.3;1.5;0.7;0.3;3.4;INDUS
Groupe SEB (EU);2020;6.9;1.6;0.6;0.3;3.3;INDUS
Groupe SEB (EU);2021;8.0;1.7;0.8;0.3;3.3;INDUS
Groupe SEB (EU);2022;7.9;1.8;0.6;0.3;3.2;INDUS
Groupe SEB (EU);2023;8.1;1.9;0.7;0.3;3.1;INDUS
Groupe SEB (EU);2024;8.3;2.0;0.8;0.3;3.2;INDUS
Gujinggong Liquor;2015;1.25;0.2976;0.25;0.0286;0.85;INDUS
Gujinggong Liquor;2016;1.4333;0.3214;0.2976;0.0357;0.88;INDUS
Gujinggong Liquor;2017;1.6595;0.3452;0.369;0.0429;0.92;INDUS
Gujinggong Liquor;2018;2.0667;0.3929;0.5357;0.0524;0.95;INDUS
Gujinggong Liquor;2019;2.481;0.4405;0.6786;0.0595;1.02;INDUS
Gujinggong Liquor;2020;2.45;0.5119;0.6071;0.0667;1.05;INDUS
Gujinggong Liquor;2021;3.1595;0.5833;0.7738;0.0762;1.08;INDUS
Gujinggong Liquor;2022;3.9786;0.6786;0.9881;0.0833;1.12;INDUS
Gujinggong Liquor;2023;4.8214;0.7738;1.25;0.0905;1.15;INDUS
Gujinggong Liquor;2024;5.5952;0.8452;1.4643;0.1071;1.18;INDUS
Guoxuan High-Tech;2015;0.6548;0.2024;0.1548;0.0286;0.35;INDUS
Guoxuan High-Tech;2016;1.131;0.2976;0.2667;0.0595;0.45;INDUS
Guoxuan High-Tech;2017;1.1548;0.4405;0.2024;0.0833;0.65;INDUS
Guoxuan High-Tech;2018;1.219;0.5833;0.131;0.1238;0.85;INDUS
Guoxuan High-Tech;2019;1.1786;0.7429;0.0286;0.1548;0.92;INDUS
Guoxuan High-Tech;2020;1.6;1.0762;0.0429;0.2024;1.12;INDUS
Guoxuan High-Tech;2021;2.4643;1.631;0.0357;0.2976;1.45;INDUS
Guoxuan High-Tech;2022;5.4881;2.5048;0.0833;0.5048;1.85;INDUS
Guoxuan High-Tech;2023;7.5262;3.5357;0.2667;0.6786;2.12;INDUS
HMM (KR);2015;5.1;4.5;-0.2;0.0;0.1;INDUS
HMM (KR);2016;4.2;4.2;-0.7;0.0;0.1;INDUS
HMM (KR);2017;4.5;4.0;-0.4;0.0;0.1;INDUS
HMM (KR);2018;4.8;3.8;-0.5;0.0;0.1;INDUS
HMM (KR);2019;5.1;3.5;-0.3;0.0;0.1;INDUS
HMM (KR);2020;5.8;4.2;0.8;0.0;0.2;INDUS
HMM (KR);2021;11.5;5.8;6.1;0.0;0.2;INDUS
HMM (KR);2022;14.8;7.2;8.5;0.0;0.2;INDUS
HMM (KR);2023;7.2;8.1;0.5;0.0;0.2;INDUS
HMM (KR);2024;8.1;8.5;0.9;0.0;0.2;INDUS
HP Inc (US);2015;40.62;2.03;3.25;1.22;4.94;INDUS
